student_id,school_id,sex,p1,p2,p3,p41,p42,p5,p6,p7,p81,p82,p9,p10a,p10b,p10c,p10d,p10e,p10f,p10g,p10h,p11a,p11b,p11c,p11d,p12a,p12b,p12c,p12d,p12e,p12f,p12g,p12h,p13a,p13b,p13c,p13d,p13e,p13f,p13g,p13h
EST0198,Colegio_6,Male,14,YES,1,DID NOT REPEAT,DID NOT REPEAT,COMPLETE SECONDARY,DON'T KNOW,45,SOMETIMES,FREQUENTLY,MOBILE PHONE,AGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,MOST QUESTIONS,ALL QUESTIONS,ALL QUESTIONS,MOST QUESTIONS,ALL QUESTIONS,ALL QUESTIONS,MOST QUESTIONS,ALL QUESTIONS,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE
EST0166,Colegio_6,Female,12,YES,1,DID NOT REPEAT,DID NOT REPEAT,COMPLETE PRIMARY,COMPLETE PRIMARY,1345,FREQUENTLY,FREQUENTLY,TABLET,AGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,PARTIALLY AGREE,AGREE,DISAGREE,DISAGREE,AGREE,AGREE,MOST QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,PARTIALLY AGREE,PARTIALLY AGREE
EST0163,Colegio_6,Male,12,YES,1,DID NOT REPEAT,DID NOT REPEAT,DON'T KNOW,DON'T KNOW,1234567,SOMETIMES,SOMETIMES,MOBILE PHONE,AGREE,AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,DISAGREE,AGREE,DISAGREE,AGREE,DISAGREE,AGREE,DISAGREE,ALL QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,NO QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,ALL QUESTIONS,MOST QUESTIONS,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,PARTIALLY AGREE,AGREE,DISAGREE
EST0185,Colegio_6,Female,13,YES,1,DID NOT REPEAT,DID NOT REPEAT,UNIVERSITY EDUCATION,UNIVERSITY EDUCATION,14567,SOMETIMES,FREQUENTLY,MOBILE PHONE,DISAGREE,AGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,PARTIALLY AGREE,DISAGREE,PARTIALLY AGREE,AGREE,AGREE,MOST QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,NO QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,PARTIALLY AGREE,DISAGREE,PARTIALLY AGREE,PARTIALLY AGREE,DISAGREE,AGREE,PARTIALLY AGREE,PARTIALLY AGREE
EST0141,Colegio_6,Female,14,NO,15,DID NOT REPEAT,DID NOT REPEAT,INCOMPLETE SECONDARY,COMPLETE SECONDARY,15,-888,FREQUENTLY,MOBILE PHONE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,DISAGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,AGREE,MOST QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,ALL QUESTIONS,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE
EST0168,Colegio_6,Female,12,YES,1,DID NOT REPEAT,DID NOT REPEAT,COMPLETE SECONDARY,INCOMPLETE SECONDARY,46,SOMETIMES,-888,MOBILE PHONE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,AGREE,VERY FEW QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,AGREE,AGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,PARTIALLY AGREE
EST0177,Colegio_6,Male,13,YES,1,DID NOT REPEAT,DID NOT REPEAT,DON'T KNOW,DON'T KNOW,124567,FREQUENTLY,FREQUENTLY,MOBILE PHONE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,PARTIALLY AGREE,DISAGREE,DISAGREE,AGREE,AGREE,MOST QUESTIONS,VERY FEW QUESTIONS,NO QUESTIONS,NO QUESTIONS,NO QUESTIONS,MOST QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,AGREE,DISAGREE
EST0193,Colegio_6,Male,12,YES,1,DID NOT REPEAT,DID NOT REPEAT,TECHNICAL HIGHER EDUCATION,DON'T KNOW,1234567,SOMETIMES,FREQUENTLY,COMPUTER/LAPTOP,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,PARTIALLY AGREE,DISAGREE,PARTIALLY AGREE,AGREE,AGREE,VERY FEW QUESTIONS,ALL QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,ALL QUESTIONS,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,PARTIALLY AGREE,AGREE
EST0187,Colegio_6,Female,12,DON'T KNOW,1,DID NOT REPEAT,DID NOT REPEAT,INCOMPLETE PRIMARY,INCOMPLETE SECONDARY,134567,FREQUENTLY,FREQUENTLY,TABLET,PARTIALLY AGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,PARTIALLY AGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,VERY FEW QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,AGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,PARTIALLY AGREE,AGREE
EST0162,Colegio_6,Female,13,YES,4,DID NOT REPEAT,FIRST,COMPLETE PRIMARY,DON'T KNOW,47,FREQUENTLY,-888,MOBILE PHONE,DISAGREE,PARTIALLY AGREE,DISAGREE,PARTIALLY AGREE,PARTIALLY AGREE,DISAGREE,PARTIALLY AGREE,DISAGREE,AGREE,DISAGREE,AGREE,DISAGREE,MOST QUESTIONS,ALL QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,ALL QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,NO QUESTIONS,DISAGREE,PARTIALLY AGREE,PARTIALLY AGREE,DISAGREE,PARTIALLY AGREE,PARTIALLY AGREE,DISAGREE,AGREE
